"user_input","ai_output","confidence","source"
"-c 10133","# Kompatibilitetsinformation för Produkt 10133

**Artikelnummer:** 10133  
","0.72","Produkt 10133"
"-c 12224","# Kompatibilitetsinformation för Produkt 12224

**Artikelnummer:** 12224  

### Passar till
- DIN 503 kapsling)
- 6 3  
","0.8","Produkt 12224"
"-c 50440559","# Kompatibilitetsinformation för Produkt 50440559

**Artikelnummer:** 50440559  

### Passar till
- alla dina USB-enheter  
","0.8","Produkt 50440559"
"-c 50026347","# Kompatibilitetsinformation för Produkt 50026347

**Artikelnummer:** 50026347  

### Passar till
- RADIOMOTTAGARE 

Public Buildnings

- *Trådlöst sändare med inbyggt batteri, typ 10A, ingår  
","0.8","Produkt 50026347"
"-c 5877328","# Kompatibilitetsinformation för Produkt 5877328

**Artikelnummer:** 5877328  

### Passar till
- AK finns även dekaler för kontrastmarkering i vitt eller svart och dekal med text dörröppning

## Specifikationer  
- skyddshuven direkt på underlag  
","0.8","Produkt 5877328"
"-c 50107538","# Kompatibilitetsinformation för Produkt 50107538

**Artikelnummer:** 50107538  

### Passar till
- RADIOMOTTAGARE 

Public Buildnings

- *Trådlöst sändare med inbyggt batteri, typ 10A, ingår  
","0.8","Produkt 50107538"
"-c 5870842","# Kompatibilitetsinformation för Produkt 5870842

**Artikelnummer:** 5870842  

### Passar till
- AK finns även dekaler för kontrastmarkering i vitt eller svart och dekal med text dörröppning

## Specifikationer  
- installationer där kabelförläggning inte är önskvärd  
- skyddshuven direkt på underlag  
","0.8","Produkt 5870842"
"-c 50142743","# Kompatibilitetsinformation för Produkt 50142743

**Artikelnummer:** 50142743  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50142743"
"-c 50142744","# Kompatibilitetsinformation för Produkt 50142744

**Artikelnummer:** 50142744  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50142744"
"-c 50142745","# Kompatibilitetsinformation för Produkt 50142745

**Artikelnummer:** 50142745  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50142745"
"-c 50152710","# Kompatibilitetsinformation för Produkt 50152710

**Artikelnummer:** 50152710  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152710"
"-c 50152711","# Kompatibilitetsinformation för Produkt 50152711

**Artikelnummer:** 50152711  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152711"
"-c 50152712","# Kompatibilitetsinformation för Produkt 50152712

**Artikelnummer:** 50152712  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152712"
"-c 50152713","# Kompatibilitetsinformation för Produkt 50152713

**Artikelnummer:** 50152713  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152713"
"-c 50152714","# Kompatibilitetsinformation för Produkt 50152714

**Artikelnummer:** 50152714  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152714"
"-c 50152715","# Kompatibilitetsinformation för Produkt 50152715

**Artikelnummer:** 50152715  

### Passar till
- bäst för att få plats under kortläsaren på väggen  
- sig till eventuella bucklor, och fungerar sedan som vanligt igen  
- sig, för att kunna fungera som vanligt  
","0.8","Produkt 50152715"
